Como se dice en francés 1,un
Como se dice en francés 2,deux
Como se dice en francés 3,trois
Como se dice en francés 4,quatre
Como se dice en francés 5,cinq
Como se dice en francés 6,six
Como se dice en francés 7,sept
Como se dice en francés 8,huit
Como se dice en francés 9,neuf
Como se dice en francés 10,dix
Como se dice en francés 11,onze
Como se dice en francés 12,douze
Como se dice en francés 13,treize
Como se dice en francés 14,quatorze
Como se dice en francés 15,quinze
Como se dice en francés 16,seize
Como se dice en francés 17,dix-sept
Como se dice en francés 18,dix-huit
Como se dice en francés 19,dix-neuf
Como se dice en francés 20,vingt
Como se dice en francés 21,vingt et un
Como se dice en francés 22,vingt-deux
Como se dice en francés 23,vingt-trois
Como se dice en francés 24,vingt-quatre
Como se dice en francés 25,vingt-cinq
Como se dice en francés 26,vingt-six
Como se dice en francés 27,vingt-sept
Como se dice en francés 28,vingt-huit
Como se dice en francés 29,vingt-neuf
Como se dice en francés 30,trente
Como se dice en francés 31,trente et un
Como se dice en francés 32,trente-deux
Como se dice en francés 33,trente-trois
Como se dice en francés 34,trente-quatre
Como se dice en francés 35,trente-cinq
Como se dice en francés 36,trente-six
Como se dice en francés 37,trente-sept
Como se dice en francés 38,trente-huit
Como se dice en francés 39,trente-neuf
Como se dice en francés 40,quarante
Como se dice en francés 41,quarante et un
Como se dice en francés 42,quarante-deux
Como se dice en francés 43,quarante-trois
Como se dice en francés 44,quarante-quatre
Como se dice en francés 45,quarante-cinq
Como se dice en francés 46,quarante-six
Como se dice en francés 47,quarante-sept
Como se dice en francés 48,quarante-huit
Como se dice en francés 49,quarante-neuf
Como se dice en francés 50,cinquante
Como se dice en francés 51,cinquante et un
Como se dice en francés 52,cinquante-deux
Como se dice en francés 53,cinquante-trois
Como se dice en francés 54,cinquante-quatre
Como se dice en francés 55,cinquante-cinq
Como se dice en francés 56,cinquante-six
Como se dice en francés 57,cinquante-sept
Como se dice en francés 58,cinquante-huit
Como se dice en francés 59,cinquante-neuf
Como se dice en francés 60,soixante
Como se dice en francés 61,soixante et un
Como se dice en francés 62,soixante-deux
Como se dice en francés 63,soixante-trois
Como se dice en francés 64,soixante-quatre
Como se dice en francés 65,soixante-cinq
Como se dice en francés 66,soixante-six
Como se dice en francés 67,soixante-sept
Como se dice en francés 68,soixante-huit
Como se dice en francés 69,soixante-neuf
Como se dice en francés 70,soixante-dix
Como se dice en francés 71,soixante et onze
Como se dice en francés 72,soixante-douze
Como se dice en francés 73,soixante-treize
Como se dice en francés 74,soixante-quatorze
Como se dice en francés 75,soixante-quinze
Como se dice en francés 76,soixante-seize
Como se dice en francés 77,soixante-dix-sept
Como se dice en francés 78,soixante-dix-huit
Como se dice en francés 79,soixante-dix-neuf
Como se dice en francés 80,quatre-vingts
Como se dice en francés 81,quatre-vingt-un
Como se dice en francés 82,quatre-vingt-deux
Como se dice en francés 83,quatre-vingt-trois
Como se dice en francés 84,quatre-vingt-quatre
Como se dice en francés 85,quatre-vingt-cinq
Como se dice en francés 86,quatre-vingt-six
Como se dice en francés 87,quatre-vingt-sept
Como se dice en francés 88,quatre-vingt-huit
Como se dice en francés 89,quatre-vingt-neuf
Como se dice en francés 90,quatre-vingt-dix
Como se dice en francés 91,quatre-vingt-onze
Como se dice en francés 92,quatre-vingt-douze
Como se dice en francés 93,quatre-vingt-treize
Como se dice en francés 94,quatre-vingt-quatorze
Como se dice en francés 95,quatre-vingt-quinze
Como se dice en francés 96,quatre-vingt-seize
Como se dice en francés 97,quatre-vingt-dix-sept
Como se dice en francés 98,quatre-vingt-dix-huit
Como se dice en francés 99,quatre-vingt-dix-neuf
Como se dice en francés 100,cent