Past Participle of: Be,been,be
Past Participle of: Beat,beaten,beat
Past Participle of: Become,become,become
Past Participle of: Begin,begun,begin
Past Participle of: Bite,bitten,bite
Past Participle of: Break,broken,break
Past Participle of: Bring ,brought,bring 
Past Participle of: Build ,built,build 
Past Participle of: Buy,bought,buy
Past Participle of: Catch ,caught,catch 
Past Participle of: Choose,chosen,choose
Past Participle of: Come,come,come
Past Participle of: Cost,cost,cost
Past Participle of: Cut,cut,cut
Past Participle of: Do,done,do
Past Participle of: Draw,drawn,draw
Past Participle of: Dream,dreamt,dream
Past Participle of: Drink ,drunk,drink 
Past Participle of: Drive ,driven,drive 
Past Participle of: Eat ,eaten,eat 
Past participle of: fall ,fallen,fall
Past participle of: feed,fed,feeed
Past Participle of: Feel,felt,feel
Past Participle of: Fight,fought,fight
Past Participle of: Find,found,find
Past Participle of: Fly,flown,fly
Past Participle of: Forget,forgoten,forget
Past Participle of: Freeze,frozen,freeze
Past Participle of: Get,got,get
Past Participle of: Give,given,give
Past Participle of: Go,gone,go
Past Participle of: Grow,grown,grow
Past Participle of: Have,had,have
Past Participle of: Hear,heard,hear
Past Participle of: Hide,hidden,hide
Past Participle of: Hit,hit,hit
Past Participle of: Hold,held,hold
Past Participle of: Hurt,hurt,hurt
Past Participle of: Keep,kept,keep
Past Participle of: Know,known,know
Past Participle of: Lay,laid,lay
Past Participle of: Learn,learnt,learn
Past Participle of: Leve,left,leve
Past Participle of: Let,let,let
Past Participle of: Lose,lost,lose
Past Participle of: Make,made,make
Pasr Particple of: mean,meant,mean
Past Participle of: Meet,met,meet
Past Participle of: Pay,paid,pay
Past Participle of: Put,put,put
Past Participle of: Read,read,read
Past Participle of: Ride,ridden,ride
Past Participle of: Ring,rung,ring
Past Participle of: Run,run,run
Past Participle of: Say,said,say
Past Participle of: See,seen,see
Past Participle of: Sell,sold,sell
Past Participle of: Send,sent,send
Past Participle of: Set,set,set
Past Participle of: Shoot,shot,shoot
Pasr Particple of: show,shown,show
Past Participle of: Shut,shut,shut
Past Participle of: Sing,sung,sing
Past Participle of: Sink,sunk,sink
Past Participle of: Sit,sat,sit
Past Participle of: Sleep,slept,sleep
Past Participle of: Smell,smelt,smell
Past Participle of: Speak,spoken,speak
Past Participle of: Spend,spent,spend
Pasr Participle of: stand,stood,stand
Past Participle of: Steal,stolen,steal
Past Participle of: Swim,swum,swim
Past Participle of: Take,taken,take
Past Participle of: teach,taught,teach
Past Participle of: Tell,told,tell
Past Participle of: Think,thought,think
Past Participle of: Understand,understood,understand
Past Participle of: Wake ,woken,wake 
Past Participle of: Wear,worn,wear
Past Participle of: Win,won,win
Past Participle of: Write,written,write